,lag,train_size,tesr_size,mse
0,1,60,5,122471.5104044604
1,1,60,20,149211.61178097327
2,1,60,60,215133.16175092408
3,1,60,120,141371.17645619993
4,1,120,5,84476.16793733166
5,1,120,20,107224.43865023932
6,1,120,60,166232.27962334474
7,1,120,120,158920.9657440993
8,1,250,5,45399.89459743474
9,1,250,20,51053.369571716605
10,1,250,60,61721.78753934074
11,1,250,120,64019.46636287189
12,1,500,5,19102.632798387524
13,1,500,20,19534.728536450715
14,1,500,60,24296.80506407777
15,1,500,120,24357.799090744174
16,3,60,5,164573.92177892503
17,3,60,20,200394.3253536467
18,3,60,60,324273.28534884955
19,3,60,120,222867.2481353355
20,3,120,5,140789.11577751953
21,3,120,20,175853.71627532624
22,3,120,60,261757.38619265502
23,3,120,120,253274.6038523914
24,3,250,5,100159.00227322144
25,3,250,20,111298.69844940277
26,3,250,60,136936.6517755353
27,3,250,120,136311.31223572543
28,3,500,5,47895.13592652617
29,3,500,20,50983.014224792794
30,3,500,60,67046.42837011171
31,3,500,120,60463.49704114011
32,5,60,5,196547.30226448618
33,5,60,20,248030.50712422887
34,5,60,60,404072.3007291527
35,5,60,120,292669.0095084791
36,5,120,5,177549.0127788873
37,5,120,20,210531.1505427027
38,5,120,60,320977.00143670297
39,5,120,120,314396.4475318477
40,5,250,5,141419.82610463328
41,5,250,20,155341.76086936027
42,5,250,60,193682.47451375166
43,5,250,120,186175.79613259638
44,5,500,5,82409.438376775
45,5,500,20,89072.91619707245
46,5,500,60,129201.87051687886
47,5,500,120,104707.58518147099
48,10,60,5,255034.86985737356
49,10,60,20,348270.49323084834
50,10,60,60,578269.3666166128
51,10,60,120,400770.6846817951
52,10,120,5,246172.6258361751
53,10,120,20,297485.2573418559
54,10,120,60,427213.15866650554
55,10,120,120,427715.665660672
56,10,250,5,217699.12609735888
57,10,250,20,250890.71135184338
58,10,250,60,324054.0432662103
59,10,250,120,314427.57335814356
60,10,500,5,140535.81791435837
61,10,500,20,159649.88510144656
62,10,500,60,234283.42163554527
63,10,500,120,185463.84158260442
