,p00739_f001,p00739_f002,p00739_f003,p00739_f004,p00739_f005,p00739_f006,p00739_f007,p00739_f008,p00739_f009,p00739_f010,p00739_f011
1032,2019/12/25,--,--,2524.0000,167070.0000,--,--,--,--,7369.0000,7378.0000
1031,2019/12/26,--,--,2428.0000,170800.0000,--,--,--,--,7349.0000,7355.0000
1030,2019/12/27,--,--,2404.0000,165798.0000,--,--,--,--,7385.0000,7369.0000
1029,2019/12/30,--,--,2416.0000,159842.0000,--,--,--,--,7403.0000,7394.0000
1028,2019/12/31,--,--,1218.0000,172476.0000,--,--,--,--,7304.0000,7278.0000
1027,2020/01/02,--,--,1205.0000,86755.0000,--,--,--,--,7295.0000,7299.0000
1026,2020/01/03,--,--,1196.0000,84935.0000,--,--,--,--,7306.0000,7303.0000
1025,2020/01/06,--,--,1187.0000,80477.0000,--,--,--,--,7367.0000,7365.0000
1024,2020/01/07,--,--,1181.0000,80727.0000,--,--,--,--,7329.0000,7308.0000
1023,2020/01/08,--,--,1185.0000,74606.0000,--,--,--,--,7367.0000,7380.0000
1022,2020/01/09,--,--,1171.0000,73427.0000,--,--,--,--,7319.0000,7327.0000
1021,2020/01/10,--,--,1148.0000,74588.0000,--,--,--,--,7338.0000,7399.0000
1020,2020/01/13,--,--,1129.0000,87006.0000,--,--,--,--,7506.0000,7532.0000
1019,2020/01/14,--,--,1131.0000,89820.0000,--,--,--,--,7518.0000,7490.0000
1018,2020/01/15,--,--,1121.0000,91390.0000,--,--,--,--,7513.0000,7496.0000
1017,2020/01/16,--,--,1048.0000,81137.0000,--,--,--,--,7472.0000,7490.0000
1016,2020/01/17,--,--,1037.0000,81021.0000,--,--,--,--,7473.0000,7474.0000
1015,2020/01/20,--,--,1035.0000,80974.0000,--,--,--,--,7505.0000,7526.0000
1014,2020/01/21,--,--,1033.0000,74249.0000,--,--,--,--,7476.0000,7469.0000
1013,2020/01/22,--,--,1029.0000,65581.0000,--,--,--,--,7370.0000,7394.0000
1012,2020/01/23,--,--,1028.0000,63859.0000,--,--,--,--,7329.0000,7332.0000
1011,2020/02/03,--,--,857.0000,58238.0000,--,--,--,--,6896.0000,6893.0000
1010,2020/02/04,--,--,853.0000,55884.0000,--,--,--,--,6792.0000,6583.0000
1009,2020/02/05,--,--,854.0000,58518.0000,--,--,--,--,6950.0000,6845.0000
1008,2020/02/06,--,--,1062.0000,59789.0000,--,--,--,--,6971.0000,6922.0000
1007,2020/02/07,--,--,1071.0000,60186.0000,--,--,--,--,6964.0000,6938.0000
1006,2020/02/10,--,--,1050.0000,62445.0000,--,--,--,--,6966.0000,6942.0000
1005,2020/02/11,--,--,1157.0000,65248.0000,--,--,--,--,6954.0000,6938.0000
1004,2020/02/12,--,--,1175.0000,70269.0000,--,--,--,--,6882.0000,6873.0000
1003,2020/02/13,--,--,1524.0000,72628.0000,--,--,--,--,6869.0000,6865.0000
1002,2020/02/14,--,--,1548.0000,72562.0000,--,--,--,--,6874.0000,6873.0000
1001,2020/02/17,--,--,1558.0000,73571.0000,--,--,--,--,6933.0000,6933.0000
1000,2020/02/18,--,--,1579.0000,76487.0000,--,--,--,--,6970.0000,6968.0000
999,2020/02/19,--,--,1652.0000,80432.0000,--,--,--,--,6980.0000,6950.0000
998,2020/02/20,--,--,1646.0000,84857.0000,--,--,--,--,7025.0000,6943.0000
997,2020/02/21,--,--,1645.0000,87691.0000,--,--,--,--,7049.0000,6969.0000
996,2020/02/24,--,--,1645.0000,85694.0000,--,--,--,--,6998.0000,6969.0000
995,2020/02/25,--,--,1663.0000,85634.0000,--,--,--,--,6980.0000,6882.0000
994,2020/02/26,--,--,1641.0000,86334.0000,--,--,--,--,6972.0000,6838.0000
993,2020/02/27,--,--,1632.0000,87054.0000,--,--,--,--,6851.0000,6749.0000
992,2020/02/28,--,--,1613.0000,83967.0000,--,--,--,--,6740.0000,6610.0000
991,2020/03/02,--,--,1458.0000,86350.0000,--,--,--,--,6747.0000,6642.0000
990,2020/03/03,--,--,1300.0000,92316.0000,--,--,--,--,6775.0000,6609.0000
989,2020/03/04,--,--,1300.0000,91235.0000,--,--,--,--,6742.0000,6610.0000
988,2020/03/05,--,--,1299.0000,89860.0000,--,--,--,--,6750.0000,6614.0000
987,2020/03/06,--,--,1297.0000,87742.0000,--,--,--,--,6702.0000,6577.0000
986,2020/03/09,--,--,1297.0000,86920.0000,--,--,--,--,6434.0000,6577.0000
985,2020/03/10,--,--,1296.0000,82994.0000,--,--,--,--,6199.0000,6314.0000
984,2020/03/11,--,--,1264.0000,84646.0000,--,--,--,--,6258.0000,6169.0000
983,2020/03/12,--,--,1252.0000,86336.0000,--,--,--,--,6090.0000,6041.0000
982,2020/03/13,--,--,1272.0000,85124.0000,--,--,--,--,6006.0000,6000.0000
981,2020/03/16,--,--,1267.0000,84619.0000,--,--,--,--,6016.0000,5910.0000
980,2020/03/17,--,--,1261.0000,93205.0000,--,--,--,--,5806.0000,5705.0000
979,2020/03/18,--,--,1256.0000,95746.0000,--,--,--,--,5561.0000,5612.0000
978,2020/03/19,--,--,1256.0000,88263.0000,--,--,--,--,5097.0000,5220.0000
977,2020/03/20,--,--,1246.0000,90543.0000,--,--,--,--,5106.0000,5074.0000
976,2020/03/23,--,--,1247.0000,93036.0000,--,--,--,--,4816.0000,4743.0000
975,2020/03/24,--,--,1247.0000,95313.0000,--,--,--,--,4758.0000,4556.0000
974,2020/03/25,--,--,1248.0000,123172.0000,--,--,--,--,4617.0000,4519.0000
973,2020/03/26,--,--,1100.0000,144291.0000,--,--,--,--,4599.0000,4494.0000
972,2020/03/27,--,--,1100.0000,157235.0000,--,--,--,--,4616.0000,4494.0000
971,2020/03/30,--,--,1087.0000,149897.0000,--,--,--,--,4487.0000,4314.0000
970,2020/03/31,--,--,794.0000,157281.0000,--,--,--,--,4464.0000,4336.0000
969,2020/04/01,--,--,794.0000,157367.0000,--,--,--,--,4441.0000,4336.0000
968,2020/04/02,--,--,794.0000,163917.0000,--,--,--,--,4532.0000,4510.0000
967,2020/04/03,--,--,0.0000,151779.0000,794.0000,0.0000,--,--,4739.0000,4629.0000
966,2020/04/07,--,--,8.0000,140932.0000,1194.0000,400.0000,--,--,4930.0000,4736.0000
965,2020/04/08,--,--,8.0000,132041.0000,1194.0000,0.0000,--,--,4947.0000,4736.0000
964,2020/04/09,--,--,0.0000,140308.0000,1185.0000,-9.0000,--,--,5263.0000,5162.0000
963,2020/04/10,--,--,0.0000,138106.0000,1185.0000,0.0000,--,--,5363.0000,5162.0000
962,2020/04/13,--,--,0.0000,133676.0000,1108.0000,-77.0000,--,--,5453.0000,5162.0000
961,2020/04/14,--,--,0.0000,130593.0000,1100.0000,-8.0000,--,--,5229.0000,5162.0000
960,2020/04/15,--,--,0.0000,128462.0000,900.0000,-200.0000,--,--,5372.0000,5162.0000
959,2020/04/16,--,--,0.0000,129240.0000,700.0000,-200.0000,--,--,5431.0000,5162.0000
958,2020/04/17,--,--,0.0000,129721.0000,700.0000,0.0000,--,--,5546.0000,5162.0000
957,2020/04/20,--,--,0.0000,132633.0000,501.0000,-199.0000,--,--,5484.0000,5162.0000
956,2020/04/21,--,--,0.0000,126535.0000,501.0000,0.0000,--,--,5295.0000,5162.0000
955,2020/04/22,--,--,0.0000,129726.0000,400.0000,-101.0000,--,--,4880.0000,5162.0000
954,2020/04/23,--,--,0.0000,133846.0000,400.0000,0.0000,--,--,5170.0000,5162.0000
953,2020/04/24,--,--,0.0000,131527.0000,400.0000,0.0000,--,--,5280.0000,5162.0000
952,2020/04/27,--,--,0.0000,128528.0000,200.0000,-200.0000,--,--,5331.0000,5162.0000
951,2020/04/28,--,--,5821.0000,132409.0000,0.0000,-200.0000,--,--,5351.0000,5006.0000
950,2020/04/29,--,--,4565.0000,129738.0000,--,--,--,--,5450.0000,5094.0000
949,2020/04/30,--,--,2546.0000,125366.0000,--,--,--,--,5511.0000,5183.0000
948,2020/05/06,--,--,2145.0000,131787.0000,--,--,--,--,5734.0000,5548.0000
947,2020/05/07,--,--,1692.0000,140046.0000,200.0000,200.0000,--,--,5622.0000,5405.0000
946,2020/05/08,--,--,1692.0000,136106.0000,200.0000,0.0000,--,--,5530.0000,5293.0000
945,2020/05/11,--,--,1692.0000,138983.0000,200.0000,0.0000,--,--,5504.0000,5216.0000
944,2020/05/12,--,--,400.0000,135749.0000,1432.0000,1232.0000,--,--,5446.0000,5199.0000
943,2020/05/13,--,--,400.0000,133642.0000,1832.0000,400.0000,--,--,5463.0000,5199.0000
942,2020/05/14,--,--,100.0000,133805.0000,1832.0000,0.0000,--,--,5490.0000,5199.0000
941,2020/05/15,--,--,0.0000,136431.0000,694.0000,-1138.0000,--,--,5559.0000,5199.0000
940,2020/05/18,--,--,0.0000,142044.0000,694.0000,0.0000,--,--,5699.0000,5199.0000
939,2020/05/19,--,--,0.0000,140541.0000,414.0000,-280.0000,--,--,5789.0000,5199.0000
938,2020/05/20,--,--,0.0000,141789.0000,314.0000,-100.0000,--,--,5770.0000,5199.0000
937,2020/05/21,--,--,0.0000,139707.0000,165.0000,-149.0000,--,--,5776.0000,5199.0000
936,2020/05/22,--,--,0.0000,133730.0000,165.0000,0.0000,--,--,5712.0000,5199.0000
935,2020/05/25,--,--,0.0000,132858.0000,165.0000,0.0000,--,--,5665.0000,5199.0000
934,2020/05/26,--,--,0.0000,133551.0000,145.0000,-20.0000,--,--,5706.0000,5199.0000
933,2020/05/27,--,--,1259.0000,131488.0000,137.0000,-8.0000,--,--,5708.0000,5408.0000
932,2020/05/28,--,--,1201.0000,130234.0000,0.0000,-137.0000,--,--,5678.0000,5130.0000
931,2020/05/29,--,--,1198.0000,127870.0000,--,--,--,--,5688.0000,5067.0000
930,2020/06/01,--,--,1198.0000,125781.0000,--,--,--,--,5737.0000,5400.0000
929,2020/06/02,--,--,1198.0000,126818.0000,--,--,--,--,5798.0000,5458.0000
928,2020/06/03,--,--,1198.0000,141139.0000,--,--,--,--,5900.0000,5500.0000
927,2020/06/04,--,--,1198.0000,133462.0000,--,--,--,--,5874.0000,5500.0000
926,2020/06/05,--,--,1198.0000,134143.0000,--,--,--,--,5856.0000,5500.0000
925,2020/06/08,--,--,1198.0000,133246.0000,--,--,--,--,5906.0000,5500.0000
924,2020/06/09,--,--,1198.0000,134416.0000,--,--,--,--,5869.0000,5500.0000
923,2020/06/10,--,--,1198.0000,133891.0000,--,--,--,--,5849.0000,5500.0000
922,2020/06/11,--,--,1198.0000,135109.0000,--,--,--,--,5822.0000,5500.0000
921,2020/06/12,--,--,1198.0000,130653.0000,1198.0000,1198.0000,--,--,5679.0000,5500.0000
920,2020/06/15,--,--,1198.0000,128568.0000,1198.0000,0.0000,--,--,5699.0000,5500.0000
919,2020/06/16,--,--,1198.0000,125715.0000,1198.0000,0.0000,--,--,5735.0000,5500.0000
918,2020/06/17,--,--,1198.0000,126301.0000,1198.0000,0.0000,--,--,5798.0000,5500.0000
917,2020/06/18,--,--,1198.0000,125993.0000,1198.0000,0.0000,--,--,5781.0000,5500.0000
916,2020/06/19,--,--,1198.0000,124639.0000,1198.0000,0.0000,--,--,5836.0000,5500.0000
915,2020/06/22,--,--,1198.0000,126323.0000,1198.0000,0.0000,--,--,5786.0000,5500.0000
914,2020/06/23,--,--,0.0000,124425.0000,1198.0000,0.0000,--,--,5761.0000,5500.0000
913,2020/06/24,--,--,644.0000,123665.0000,1198.0000,0.0000,--,--,5755.0000,5410.0000
912,2020/06/29,--,--,621.0000,128303.0000,1198.0000,0.0000,--,--,5665.0000,5319.0000
911,2020/06/30,--,--,606.0000,127334.0000,0.0000,-1198.0000,--,--,5672.0000,5394.0000
910,2020/07/01,--,--,406.0000,131584.0000,200.0000,200.0000,--,--,5606.0000,5394.0000
909,2020/07/02,--,--,6.0000,129904.0000,600.0000,400.0000,--,--,5648.0000,5394.0000
908,2020/07/03,--,--,0.0000,128089.0000,600.0000,0.0000,--,--,5706.0000,5360.0000
907,2020/07/06,--,--,0.0000,127952.0000,600.0000,0.0000,--,--,5707.0000,5360.0000
906,2020/07/07,--,--,0.0000,126268.0000,590.0000,-10.0000,--,--,5735.0000,5360.0000
905,2020/07/08,--,--,0.0000,125192.0000,590.0000,0.0000,--,--,5713.0000,5360.0000
904,2020/07/09,--,--,0.0000,131684.0000,590.0000,0.0000,--,--,5691.0000,5360.0000
903,2020/07/10,--,--,0.0000,154765.0000,390.0000,-200.0000,--,--,5585.0000,5360.0000
902,2020/07/13,--,--,0.0000,147558.0000,390.0000,0.0000,--,--,5579.0000,5360.0000
901,2020/07/14,--,--,0.0000,141942.0000,390.0000,0.0000,--,--,5544.0000,5360.0000
900,2020/07/15,--,--,0.0000,128863.0000,232.0000,-158.0000,--,--,5650.0000,5360.0000
899,2020/07/16,--,--,0.0000,124959.0000,232.0000,0.0000,--,--,5659.0000,5360.0000
898,2020/07/17,--,--,0.0000,128248.0000,232.0000,0.0000,--,--,5583.0000,5360.0000
897,2020/07/20,--,--,0.0000,128501.0000,232.0000,0.0000,--,--,5584.0000,5360.0000
